project_tier,source,year,model,trim,title,price_usd,current_bid_usd,mileage,title_status,drivable,location,seller_type,vin,listing_id,source_url,photo_url,first_seen
salvage,copart,2022,911,GT3,2022 Porsche 911 GT3,,108000.0,7189,salvage,,FL - TAMPA SOUTH,salvage_auction,WP0AC2A99NS******,WP0AC2A99NS******,https://www.copart.com/lot/68000255,,2026-05-14 03:32:58.596933+00:00
clean,copart,2024,911,GT3 RS,2024 Porsche 911 GT3 RS,,117000.0,16124,unknown,,FL - WEST PALM BEACH,salvage_auction,WP0AF2A90RS******,WP0AF2A90RS******,https://www.copart.com/lot/78883825,,2026-05-14 03:39:10.279467+00:00
salvage,copart,2015,911,,2015 Porsche 911 Gt3 Ca San Diego,,,,salvage,,,salvage_auction,,2015-porsche-911-gt3-ca-san-diego,https://www.copart.com/lot/77415945/2015-porsche-911-gt3-ca-san-diego,,2026-05-14 02:57:22.698631+00:00
salvage,copart,2020,911,,2020 Porsche 911 Carrera S Ca San Diego,,,,salvage,,,salvage_auction,,salvage-2020-porsche-911-carrera-s-ca-san-diego,https://www.copart.com/lot/74838735/salvage-2020-porsche-911-carrera-s-ca-san-diego,,2026-05-14 02:57:22.698999+00:00
salvage,copart,2015,911,,2015 Porsche 911 Carrera Fl Clewiston,,,,salvage,,,salvage_auction,,2015-porsche-911-carrera-fl-clewiston,https://www.copart.com/lot/58589703/2015-porsche-911-carrera-fl-clewiston,,2026-05-14 02:57:22.699014+00:00
salvage,copart,2017,911,,2017 Porsche 911 Carrera S Fl Miami Central,,,,salvage,,,salvage_auction,,2017-porsche-911-carrera-s-fl-miami-central,https://www.copart.com/lot/51715562/2017-porsche-911-carrera-s-fl-miami-central,,2026-05-14 02:57:22.699023+00:00
salvage,copart,2024,911,,2024 Porsche 911 Qc Montreal,,,,salvage,,,salvage_auction,,salvage-2024-porsche-911-qc-montreal,https://www.copart.com/lot/97597655/salvage-2024-porsche-911-qc-montreal,,2026-05-14 02:57:22.699031+00:00
salvage,copart,2019,911,,2019 Porsche 911 Gt3 Rs Nj Somerville,,,,salvage,,,salvage_auction,,salvage-2019-porsche-911-gt3-rs-nj-somerville,https://www.copart.com/lot/93473775/salvage-2019-porsche-911-gt3-rs-nj-somerville,,2026-05-14 02:57:22.699040+00:00
salvage,copart,2023,911,,2023 Porsche 911 Turbo Fl Miami Central,,,,salvage,,,salvage_auction,,2023-porsche-911-turbo-fl-miami-central,https://www.copart.com/lot/79942385/2023-porsche-911-turbo-fl-miami-central,,2026-05-14 02:57:22.699047+00:00
salvage,copart,2024,911,,2024 Porsche 911 Gt3 Rs Fl West Palm Beach,,,,salvage,,,salvage_auction,,salvage-2024-porsche-911-gt3-rs-fl-west-palm-beach,https://www.copart.com/lot/78883825/salvage-2024-porsche-911-gt3-rs-fl-west-palm-beach,,2026-05-14 02:57:22.699055+00:00
